Gene	Regulation
MARCO	up
ITGAM	up
GALNT5	up
ACPP	up
IFI30	up
DEFA4	up
FCN1	up
NLRP12	up
PRSS21	up
COL1A1	up
C5AR1	up
FAM177B	up
CELA1	up
CD300E	up
PPY	up
PLXDC2	up
C3AR1	up
MILR1	up
GNA15	up
CLEC17A	up
AQP9	up
CD6	up
SELL	up
IL2RG	up
ADTRP	up
MPEG1	up
THBS1	up
COL3A1	up
EFCAB1	up
C1QA	up
AKR1B10	up
SRGN	up
TNFAIP2	up
NME8	up
ST14	up
IL1R2	up
CDX1	up
HLA-DPB1	up
GSDMA	up
HLA-DQA2	up
TIGIT	up
INSRR	up
SERPINE1	up
SCIN	up
TGFBI	up
MS4A4E	up
SFRP2	up
CYTH4	up
CCL13	up
HLA-DQB2	up
CD52	up
FCGR1A	up
NCF2	up
SERPINB1	up
TREM1	up
SIRPB2	up
PKD2L1	up
CD226	up
CD53	up
MZB1	up
ALOX5	up
CHI3L1	up
HAS1	up
HCLS1	up
SLAMF8	up
FOLR2	up
PLA2R1	up
CH25H	up
STEAP4	up
PTAFR	up
IL1B	up
TNFRSF10C	up
CLDN23	up
CPA3	up
FCER1G	up
MOCOS	up
TACSTD2	up
CCR4	up
MMP3	up
TMIE	up
IL1A	up
RNASE1	up
S100A8	up
PTX3	up
ITGA11	up
THEMIS2	up
CTSW	up
NCKAP1L	up
CLC	up
CYBB	up
SAA1	up
CFB	up
OSCAR	up
MAP3K8	up
DPEP2	up
DAB2	up
TMEM26	up
CTSS	up
GPR174	up
CCR7	up
ABCA13	up
CD14	up
ADAM28	up
HLA-DRB1	up
CD200R1	up
PAPPA	up
C1R	up
CCL4	up
RARRES1	up
TYMP	up
F13A1	up
S100Z	up
MMP1	up
RNASE6	up
C5AR2	up
CPXM2	up
HCAR2	up
GJB2	up
PDCD1LG2	up
PI3	up
NAMPT	up
IL18R1	up
CD74	up
CALHM6	up
OSM	up
CXCL5	up
PARP15	up
LAPTM5	up
EOMES	up
CATSPER1	up
FPR1	up
BIRC3	up
CD3E	up
CD209	up
KMO	up
HCK	up
CLEC4A	up
PLBD1	up
CD300C	up
ICAM1	up
LCK	up
TLR1	up
FYB1	up
ADGRG3	up
VDR	up
IL2RB	up
C4BPA	up
ASGR2	up
RHOH	up
SIGLEC7	up
CXCL2	up
SOCS3	up
IL7R	up
STAB1	up
SAT1	up
VSTM1	up
IL36B	up
CD3G	up
HRH2	up
CTLA4	up
FCGBP	up
RAB27A	up
SYK	up
MS4A14	up
SPINK6	up
COL15A1	up
HP	up
CD1D	up
CXCL14	up
KLRB1	up
VENTX	up
LILRA6	up
MCTP2	up
SNX10	up
SH2D2A	up
CCR1	up
UBD	up
KRT18	up
ELF3	up
TNFRSF10A	up
CSF3R	up
CLEC7A	up
GPR84	up
CXorf21	up
LRRC25	up
CCL5	up
PTPN7	up
LYVE1	up
MMP19	up
CEACAM21	up
OR2I1P	up
CSF3	up
PIK3R5	up
IL18RAP	up
CYP1B1	up
VAMP8	up
RNASE2	up
RGS2	up
ORM1	up
RAC2	up
HK3	up
MEDAG	up
FCGR1B	up
DKK2	up
KRT7	up
MNDA	up
LILRB2	up
SLAMF1	up
MRC1	up
LIPM	up
PI15	up
PTPRC	up
AREG	up
CEACAM4	up
TNFSF4	up
TEC	up
CCL23	up
HTR7	up
LILRB5	up
GPR183	up
SLA	up
ROS1	up
TLR5	up
AFP	up
ACP5	up
LGALS12	up
LTB	up
AL645941.2	up
C11orf88	up
SOD2	up
CCR5	up
LILRA5	up
LUM	up
MMP7	up
COL1A2	up
CXCR2	up
STC1	up
DUSP1	up
IL4I1	up
ARSI	up
IL24	up
SLAMF7	up
LAIR1	up
C3orf52	up
CD2	up
NFE4	up
IL10RA	up
CLEC2B	up
IGLL5	up
ARL11	up
GZMA	up
SIGLEC10	up
KRT80	up
NNMT	up
PCOLCE	up
HLA-DQB1	up
CCR2	up
TLR7	up
BPIFB4	up
CLECL1	up
TFPI2	up
CXCL13	up
GAPT	up
HLA-DRA	up
CD3D	up
GBGT1	up
PLA2G2A	up
CCL20	up
DSE	up
NCF4	up
TFEC	up
SIGLEC14	up
CLEC10A	up
IL21R	up
RGS18	up
CCL3L1	up
TNFRSF8	up
SLAMF6	up
S100A9	up
FCGR3B	up
HLA-DMB	up
CMKLR1	up
TMEM150B	up
C1orf162	up
MS4A6A	up
CD300LF	up
COL6A3	up
HAVCR2	up
CHIT1	up
TNFSF10	up
NABP1	up
TMEM236	up
PLAU	up
HLA-DMA	up
CD70	up
PTGER4	up
CD5	up
MS4A4A	up
P2RY8	up
CCL18	up
CXCR1	up
LILRB3	up
CP	up
SERPINA1	up
MSLN	up
ABCC3	up
ANPEP	up
TMEM106A	up
IL4R	up
RETN	up
GPR141	up
SIGLEC9	up
DAW1	up
